"wghtcls" "treatment" "wghtincr"
"1"   "1" "0" -190
"2"   "1" "0" -130
"3"   "1" "0" -120
"4"   "1" "0" -110
"5"   "1" "0" -100
"6"   "1" "0" -80
"7"   "1" "0" -70
"8"   "1" "0" -70
"9"   "1" "0" -60
"10"  "1" "0" -50
"11"  "1" "0" -50
"12"  "1" "0" -40
"13"  "1" "0" -30
"14"  "1" "0" -30
"15"  "1" "0" -20
"16"  "1" "0" -20
"17"  "1" "0" -10
"18"  "1" "0" -10
"19"  "1" "0" 0
"20"  "1" "0" 10
"21"  "1" "0" 20
"22"  "1" "0" 30
"23"  "1" "0" 30
"24"  "1" "0" 40
"25"  "1" "0" 40
"26"  "1" "0" 70
"27"  "1" "0" 120
"28"  "1" "0" 150
"29"  "1" "0" 170
"30"  "1" "1" -120
"31"  "1" "1" -50
"32"  "1" "1" -40
"33"  "1" "1" -40
"34"  "1" "1" -30
"35"  "1" "1" -20
"36"  "1" "1" -20
"37"  "1" "1" -10
"38"  "1" "1" 0
"39"  "1" "1" 0
"40"  "1" "1" 20
"41"  "1" "1" 30
"42"  "1" "1" 30
"43"  "1" "1" 40
"44"  "1" "1" 50
"45"  "1" "1" 50
"46"  "1" "1" 60
"47"  "1" "1" 60
"48"  "1" "1" 70
"49"  "1" "1" 70
"50"  "1" "1" 80
"51"  "1" "1" 80
"52"  "1" "1" 90
"53"  "1" "1" 90
"54"  "1" "1" 100
"55"  "1" "1" 100
"56"  "1" "1" 110
"57"  "1" "1" 110
"58"  "1" "1" 120
"59"  "1" "1" 130
"60"  "1" "1" 130
"61"  "1" "1" 150
"62"  "1" "1" 150
"63"  "1" "1" 170
"64"  "1" "1" 180
"65"  "2" "0" -130
"66"  "2" "0" -120
"67"  "2" "0" -120
"68"  "2" "0" -110
"69"  "2" "0" -100
"70"  "2" "0" -90
"71"  "2" "0" -90
"72"  "2" "0" -90
"73"  "2" "0" -80
"74"  "2" "0" -70
"75"  "2" "0" -70
"76"  "2" "0" -70
"77"  "2" "0" -60
"78"  "2" "0" -60
"79"  "2" "0" -50
"80"  "2" "0" -50
"81"  "2" "0" -50
"82"  "2" "0" -40
"83"  "2" "0" -40
"84"  "2" "0" -30
"85"  "2" "0" -30
"86"  "2" "0" -20
"87"  "2" "0" -20
"88"  "2" "0" -20
"89"  "2" "0" -10
"90"  "2" "0" -10
"91"  "2" "0" 0
"92"  "2" "0" 0
"93"  "2" "0" 0
"94"  "2" "0" 0
"95"  "2" "0" 10
"96"  "2" "0" 10
"97"  "2" "0" 20
"98"  "2" "0" 20
"99"  "2" "0" 20
"100" "2" "0" 40
"101" "2" "0" 40
"102" "2" "0" 50
"103" "2" "0" 50
"104" "2" "0" 60
"105" "2" "0" 70
"106" "2" "0" 70
"107" "2" "0" 90
"108" "2" "0" 100
"109" "2" "0" 130
"110" "2" "1" -100
"111" "2" "1" -60
"112" "2" "1" -60
"113" "2" "1" -50
"114" "2" "1" -50
"115" "2" "1" -40
"116" "2" "1" -30
"117" "2" "1" -30
"118" "2" "1" -20
"119" "2" "1" -20
"120" "2" "1" -20
"121" "2" "1" -10
"122" "2" "1" 0
"123" "2" "1" 0
"124" "2" "1" 10
"125" "2" "1" 20
"126" "2" "1" 20
"127" "2" "1" 20
"128" "2" "1" 30
"129" "2" "1" 30
"130" "2" "1" 30
"131" "2" "1" 30
"132" "2" "1" 40
"133" "2" "1" 40
"134" "2" "1" 40
"135" "2" "1" 40
"136" "2" "1" 50
"137" "2" "1" 50
"138" "2" "1" 50
"139" "2" "1" 50
"140" "2" "1" 60
"141" "2" "1" 60
"142" "2" "1" 70
"143" "2" "1" 70
"144" "2" "1" 70
"145" "2" "1" 80
"146" "2" "1" 80
"147" "2" "1" 90
"148" "2" "1" 90
"149" "2" "1" 100
"150" "2" "1" 110
"151" "2" "1" 110
"152" "2" "1" 130
"153" "2" "1" 160
"154" "2" "1" 200
"155" "3" "0" -300
"156" "3" "0" -250
"157" "3" "0" -180
"158" "3" "0" -160
"159" "3" "0" -160
"160" "3" "0" -140
"161" "3" "0" -140
"162" "3" "0" -120
"163" "3" "0" -110
"164" "3" "0" -90
"165" "3" "0" -90
"166" "3" "0" -80
"167" "3" "0" -80
"168" "3" "0" -70
"169" "3" "0" -60
"170" "3" "0" -60
"171" "3" "0" -60
"172" "3" "0" -50
"173" "3" "0" -50
"174" "3" "0" -50
"175" "3" "0" -40
"176" "3" "0" -40
"177" "3" "0" -40
"178" "3" "0" -30
"179" "3" "0" -30
"180" "3" "0" -30
"181" "3" "0" -20
"182" "3" "0" -20
"183" "3" "0" -10
"184" "3" "0" 0
"185" "3" "0" 10
"186" "3" "0" 20
"187" "3" "0" 70
"188" "3" "0" 100
"189" "3" "0" 100
"190" "3" "0" 130
"191" "3" "1" -90
"192" "3" "1" -70
"193" "3" "1" -50
"194" "3" "1" -40
"195" "3" "1" -30
"196" "3" "1" -20
"197" "3" "1" -10
"198" "3" "1" -10
"199" "3" "1" 0
"200" "3" "1" 10
"201" "3" "1" 10
"202" "3" "1" 20
"203" "3" "1" 20
"204" "3" "1" 30
"205" "3" "1" 40
"206" "3" "1" 50
"207" "3" "1" 70
"208" "3" "1" 80
"209" "3" "1" 80
"210" "3" "1" 180

